taxonID	parentNameUsageID	canonicalName	taxonRank
2379191	2379189	Evorthodus lyricus	species
2377518	2377501	Bollmannia boqueronensis	species
2376015	2375993	Lythrypnus okapia	species
2375999	2375993	Lythrypnus spilus	species
2376014	2375993	Lythrypnus minimus	species
2376006	2375993	Lythrypnus heterochroma	species
2375996	2375993	Lythrypnus elasson	species
2376002	2375993	Lythrypnus nesiotes	species
2375994	2375993	Lythrypnus crocodilus	species
2357064	2356983	Myripristis jacobus	species
5204774	5204761	Ostichthys trachypoma	species
5204777	3241028	Holocentrus rufus	species
5204778	3241028	Holocentrus adscensionis	species
5204754	3241396	Neoniphon marianus	species
2356835	2356717	Sargocentron coruscum	species
2356812	2356717	Sargocentron microstoma	species
2356760	2356717	Sargocentron tiere	species
2356775	2356717	Sargocentron tiereoides	species
2356787	2356717	Sargocentron vexillarium	species
2356754	2356717	Sargocentron hastatum	species
2356819	2356717	Sargocentron bullisi	species
2356843	2356717	Sargocentron poco	species
5204782	2356981	Corniger spinosus	species
2356977	2356970	Plectrypops retrospinis	species
2401097	2401096	Odontostomops normalops	species
2401075	2401074	Coccorella atlantica	species
5203752	2347767	Poecilia latipinna	species
2401250	2401177	Aulopus filamentosus	species
2408380	2408375	Trichopsetta caribbaea	species
2408607	2408605	Monolene sessilicauda	species
2408306	2408305	Engyophrys senta	species
2408308	2408305	Engyophrys sanctilaurentii	species
5213869	2408619	Bothus robinsi	species
5213852	2408619	Bothus podas	species
5213844	2408619	Bothus maculiferus	species
5213883	2408619	Bothus ocellatus	species
5213848	2408619	Bothus lunatus	species
2346401	2346384	Ogilbia jeffwilliamsi	species
2346387	2346384	Ogilbia suarezae	species
2346403	2346384	Ogilbia cayorum	species
2346065	2346062	Alionematichthys minyomma	species
2346217	2346216	Gunterichthys longipenis	species
2346377	2346376	Stygnobrotula latebricola	species
2346353	2346347	Ogilbichthys longimanus	species
2346350	2346347	Ogilbichthys kakuki	species
2346189	2346188	Calamopteryx goslinei	species
2400476	2400475	Desmodema polystictum	species
2400533	2400531	Zu cristatus	species
2397724	2397723	Lepidocybium flavobrunneum	species
2397775	2397774	Gempylus serpens	species
2397819	2397818	Epinnula magistralis	species
2386771	2333601	Callionymus bairdi	species
2397789	2397788	Nesiarchus nasutus	species
5209951	2386599	Diplogrammus pauciradiatus	species
2397731	2397730	Ruvettus pretiosus	species
2397760	2397759	Diplospinus multistriatus	species
2386564	2386552	Foetorepus agassizii	species
2397743	2397742	Promethichthys prometheus	species
2375036	2375006	Priacanthus arenatus	species
2375059	2375058	Cookeolus japonicus	species
2375045	2375044	Heteropriacanthus cruentatus	species
2375079	2375065	Pristigenys alta	species
2373980	2373932	Thunnus thynnus	species
2373933	2373932	Thunnus tonggol	species
2373996	2373932	Thunnus obesus	species
2374013	2373932	Thunnus albacares	species
2373969	2373932	Thunnus atlanticus	species
2374191	2374190	Katsuwonus pelamis	species
4286082	2374231	Auxis thazard	species
4286088	2374231	Auxis rochei	species
2374270	2374232	Scomberomorus brasiliensis	species
2374249	2374232	Scomberomorus regalis	species
2374282	2374232	Scomberomorus cavalla	species
5208565	5208560	Euthynnus alletteratus	species
2373913	2373912	Allothunnus fallai	species
5208593	2374344	Sarda sarda	species
2374161	2374148	Scomber colias	species
2374149	2374148	Scomber scombrus	species
2374069	2374068	Acanthocybium solandri	species
2405431	2402916	Chlopsis apterus	species
2405436	2402916	Chlopsis dentatus	species
2405448	2405447	Kaupichthys nuchalis	species
2405454	2405447	Kaupichthys hyoproroides	species
2405420	2405058	Chilorhinus suensonii	species
2379534	2379533	Paracanthurus hepatus	species
5209188	2379647	Acanthurus coeruleus	species
5209173	2379647	Acanthurus monroviae	species
5209181	2379647	Acanthurus bahianus	species
5209162	2379647	Acanthurus nigricans	species
2379864	2379863	Zebrasoma scopas	species
2379882	2379863	Zebrasoma xanthurum	species
2394390	2394385	Kathetostoma albigutta	species
5211226	2394404	Xenocephalus egregius	species
2394348	2394345	Astroscopus guttatus	species
2394346	2394345	Astroscopus y-graecum	species
2394349	2394345	Astroscopus sexspinosus	species
5214139	2408295	Solea solea	species
2406071	2406056	Benthosema suborbitale	species
2405817	2405786	Bolinichthys distofax	species
2405797	2405786	Bolinichthys photothorax	species
2405684	2405683	Lobianchia gemellarii	species
2406093	2406092	Notoscopelus caudispinosus	species
2406106	2406092	Notoscopelus resplendens	species
2406022	2406020	Diogenichthys atlanticus	species
2405658	2405648	Gonichthys cocco	species
2408930	2408929	Ancylopsetta ommata	species
2408936	2408929	Ancylopsetta dilecta	species
2408872	2408863	Paralichthys tropicus	species
2408871	2408863	Paralichthys squamilentus	species
2408884	2408863	Paralichthys albigutta	species
2408873	2408863	Paralichthys patagonicus	species
2408881	2408863	Paralichthys lethostigma	species
2408866	2408863	Paralichthys dentatus	species
2408896	2408863	Paralichthys brasiliensis	species
2408923	2408916	Cyclopsetta chittendeni	species
2408917	2408916	Cyclopsetta fimbriata	species
2405835	2405833	Loweina rara	species
2408787	2408758	Syacium gunteri	species
2408764	2408758	Syacium micrurum	species
2408759	2408758	Syacium papillosum	species
2405913	2405905	Lampadena luminosa	species
2406285	2406168	Diaphus brachycephalus	species
2406270	2406168	Diaphus mollis	species
2406303	2406168	Diaphus garmani	species
2406187	2406168	Diaphus problematicus	species
2406184	2406168	Diaphus bertelseni	species
2406217	2406168	Diaphus fragilis	species
2406262	2406168	Diaphus splendidus	species
2406273	2406168	Diaphus perspicillatus	species
2406248	2406168	Diaphus dumerilii	species
2406331	2406168	Diaphus lucidus	species
2408736	2408301	Citharichthys gymnorhinus	species
2408734	2408301	Citharichthys arenaceus	species
2408720	2408301	Citharichthys spilopterus	species
2408741	2408301	Citharichthys macrops	species
2408719	2408301	Citharichthys arctifrons	species
2408713	2408301	Citharichthys cornutus	species
2405710	2405709	Lepidophanes guentheri	species
2405715	2405709	Lepidophanes gaussi	species
2408805	2408798	Hippoglossina oblonga	species
2405933	2405928	Electrona risso	species
2408958	2408946	Etropus rimosus	species
8123721	2408946	Etropus crossotus	species
2408956	2408946	Etropus microstomus	species
2406043	2406032	Ceratoscopelus maderensis	species
2406033	2406032	Ceratoscopelus warmingii	species
2405606	2405600	Nannobrachium cuprarium	species
2405852	2405851	Myctophum nitidulum	species
2405879	2405851	Myctophum asperum	species
2405866	2405851	Myctophum obtusirostre	species
2405873	2405851	Myctophum selenops	species
2405853	2405851	Myctophum affine	species
5213292	5213287	Hygophum taaningi	species
